AH,Vis_Min,Part_Min,Temp,Vis,Dist
7.104951178,15435.9712680541,18.087946990486,7.855784687,16644.85934,4820.505085
5.569582471,3853.33543472766,0.0,2.610877687,3998.319637,4824.933982
13.22604006,1811.84946073109,0.0,15.91276387,2001.07826,2590.192829
7.203035836,25258.571455321,0.0,9.301985289,25532.74975,4821.84148
5.063663491,22106.0538811828,0.0,3.525359503,24406.94447,4823.525108
10.19502598,3860.68086865795,107.849995027951,11.43409008,4011.11384,2020.517354
4.655081727,42020.9365936516,0.0,4.977988278,43573.5424,4818.359821
18.15975309,49716.9928574958,0.0,26.11259971,51134.7376,2956.322803
7.305875548,26800.8632433178,0.0,12.63379313,27186.39994,2019.33929
5.983315032,5969.82839537535,64.9981031471369,3.907259504,6132.067249,2013.811616
9.133738392,66000.3949025824,0.0,10.77459646,70543.10517,2958.543943
7.990527235,72012.1536522563,0.0,21.74590786,75004.85169,2959.528475
21.02821097,25072.9339195636,15.9334064671361,26.9340947,27515.74693,2959.52692
5.095507208,21339.3266620305,0.0,1.69973524,22984.75656,4826.767677
6.022028596,7088.54474679996,108.702234997383,3.879939875,7101.002096,4818.941677
22.52400136,15721.7059097465,0.0,29.08937843,15968.47023,3962.246395
10.31908519,4746.43527421088,54.2885647419738,12.13388552,4992.267505,2015.95467
15.93430035,44674.7077108047,0.0,21.26976093,47814.26911,2959.576992
4.337646622,6499.51466798185,114.422038333961,3.211142553,6541.233262,2012.556657
6.054866058,5587.05490789407,0.0,3.785117366,5627.138572,4822.67845
7.287846335,72264.6249523879,0.0,13.00469931,75003.639,2017.93266
10.44847511,13559.9634095471,36.7099844392006,12.15012169,14059.52282,2014.078422
19.02125624,40068.2400755044,0.0,26.00199876,40368.90728,2960.944908
15.87168751,48797.2598545831,0.0,21.4496461,50459.90061,2957.611079
21.2650975,12264.086265685,58.0548974492404,27.85885382,13324.9201,2956.758808
5.690049096,1987.86268916957,0.0,2.554576755,2162.544938,4826.009813
2.999926861,71745.9000983538,0.0,3.808199899,74996.9375,4826.6173
10.67730365,51834.9110016876,5.86240915203213,22.75753671,54754.64421,2016.249898
15.58596337,15127.2969409609,156.748619629371,19.96851574,16096.27666,2961.900366
5.470051938,74145.3861363446,0.0,4.588196246,75002.67514,4824.465386
10.18718617,3231.54432630345,105.157454557218,11.3411585,3487.907062,2012.508325
4.645755605,34596.3680577441,0.0,3.353061707,36248.07678,4823.727984
4.617738565,46631.2654332883,0.0,4.029973124,47647.20813,4822.316773
12.40094709,953.360413798071,469.127383380283,15.96654729,1022.008921,2016.422784
4.549694819,25516.0047737285,0.0,14.5397245,27049.74576,2014.558289
21.11592192,28777.9198941103,16.1585648331825,26.59468404,28921.1714,2955.291366
5.580187673,5941.43428215194,0.0,7.63356448,6100.877802,2016.260124
2.539700226,74918.531601567,0.0,1.563396452,74995.19357,4824.549563
5.803613611,5563.96559300618,0.0,10.25152595,6112.39721,2020.066918
18.38461431,19022.844273786,0.0,23.70706594,20853.70874,2112.506474
17.64316421,33705.1703668522,0.0,33.06577821,35482.42052,3962.130138
10.54532211,32356.8169775895,0.0,25.38776036,35874.06511,2012.081594
5.677070553,21108.4674302269,16.0754362138481,3.717330869,21587.03405,4819.318659
7.018198019,53239.9991024514,0.0,5.515307845,58986.46425,2014.003464
15.71603749,54352.2931515133,0.0,26.03755957,59547.19335,2956.52117
14.533694,49192.5744932049,18.7830256011342,21.89716442,51659.80176,2960.794905
6.308992405,2620.5846338391,0.0,3.846664986,2855.153254,4827.963729
3.051275418,39267.2542039847,0.0,6.0021122,42644.80828,2016.455054
8.103314977,9358.45437884374,0.0,12.91061105,9471.783706,2584.710311
4.605718112,68950.8630721789,0.0,4.651606332,74995.04674,4820.644058
4.493381259,32356.9209896648,0.0,5.114265639,33331.69371,4824.561402
14.51287416,64385.2689278352,0.0,20.95617197,68424.60879,2964.120249
8.776456137,30343.6126488063,0.0,22.25838348,32109.62272,2015.132274
6.140066376,7427.9829731756,81.6110690731417,4.530906913,7615.802511,4827.438874
5.499215291,6577.07689094389,138.228108742603,3.167911278,6934.071504,4818.908068
19.1191537,4849.89294630078,128.72359846468,22.45772838,4899.780905,2116.341704
18.4233392,35908.4533022146,18.8485805110579,22.31542823,38030.43744,2112.25547
18.54397209,520.569703427177,688.643093063711,23.06517544,573.8244958,2120.576875
8.784625348,3962.70931785585,193.615094862608,9.11782799,4399.825506,4820.093388
20.69066702,19545.6626327313,14.5261245687754,27.3505911,19617.37194,2964.273439
3.674939836,4816.39433292975,0.0,-3.251650143,4859.569582,4818.612923
5.383178848,4025.33491001532,0.0,5.354761598,4339.787677,2020.342991
